wmmVersion|year|height|lat|lon|x|y|z|h|f|i|d|gv|xDot|yDot|zDot
WMM2015v2|2015|0|80|0|6636.6|-451.9|54408.9|6651.9|54814|83.03|-3.9|-3.9|-12.6|61.3|39
WMM2015v2|2015|0|0|120|39521.1|377.7|-11228.8|39522.9|41087.1|-15.86|0.55|0.55|19.3|-50.2|64.3
WMM2015v2|2015|0|-80|240|5796.3|15759.1|-52927.1|16791.2|55526.8|-72.4|69.81|309.81|27.3|2|88.4
WMM2015v2|2015|100|80|0|6323.4|-477.6|52249.1|6341.4|52632.5|83.08|-4.32|-4.32|-11.6|58.6|35.5
WMM2015v2|2015|100|0|120|37538.1|351.1|-10751.1|37539.7|39048.9|-15.98|0.54|0.54|18.5|-46.1|60.2
WMM2015v2|2015|100|-80|240|5612.2|14789.3|-50385.8|15818.3|52810.5|-72.57|69.22|309.22|25.1|1.5|82.5
WMM2015v2|2017.5|0|80|0|6605.2|-298.7|54506.3|6612|54905.9|83.08|-2.59|-2.59|-12.6|61.3|39
WMM2015v2|2017.5|0|0|120|39569.4|252.3|-11067.9|39570.2|41088.9|-15.63|0.37|0.37|19.3|-50.2|64.3
WMM2015v2|2017.5|0|-80|240|5864.6|15764.1|-52706.1|16819.7|55324.8|-72.3|69.59|309.59|27.3|2|88.4
WMM2015v2|2017.5|100|80|0|6294.3|-331.1|52337.8|6303|52716|83.13|-3.01|-3.01|-11.6|58.6|35.5
WMM2015v2|2017.5|100|0|120|37584.4|235.7|-10600.5|37585.1|39051.4|-15.75|0.36|0.36|18.5|-46.1|60.2
WMM2015v2|2017.5|100|-80|240|5674.9|14793.1|-50179.5|15844.2|52621.5|-72.48|69.01|309.01|25.1|1.5|82.5
WMM2015|2015|0|80|0|6627.1|-445.9|54432.3|6642.1|54836|83.04|-3.85|-3.85|-11.1|51.5|10.8
WMM2015|2015|0|0|120|39518.2|392.9|-11252.4|39520.2|41090.9|-15.89|0.57|0.57|21.3|-68.2|88.9
WMM2015|2015|0|-80|240|5797.3|15761.1|-52919.1|16793.5|55519.8|-72.39|69.81|309.81|30.6|8.1|92.4
WMM2015|2015|100|80|0|6314.3|-471.6|52269.8|6331.9|52652|83.09|-4.27|-4.27|-9.5|49.2|9.1
WMM2015|2015|100|0|120|37535.6|364.4|-10773.4|37537.3|39052.7|-16.01|0.56|0.56|20|-61.9|83.7
WMM2015|2015|100|-80|240|5613.1|14791.5|-50378.6|15820.7|52804.4|-72.57|69.22|309.22|28.2|6.9|86.2
WMM2015|2017.5|0|80|0|6599.4|-317.1|54459.2|6607|54858.5|83.08|-2.75|-2.75|-11.1|51.5|10.8
WMM2015|2017.5|0|0|120|39571.4|222.5|-11030.1|39572|41080.5|-15.57|0.32|0.32|21.3|-68.2|88.9
WMM2015|2017.5|0|-80|240|5873.8|15781.4|-52687.9|16839.1|55313.4|-72.28|69.58|309.58|30.6|8.1|92.4
WMM2015|2017.5|100|80|0|6290.5|-348.5|52292.7|6300.1|52670.9|83.13|-3.17|-3.17|-9.5|49.2|9.1
WMM2015|2017.5|100|0|120|37585.5|209.5|-10564.2|37586.1|39042.5|-15.7|0.32|0.32|20|-61.9|83.7
WMM2015|2017.5|100|-80|240|5683.5|14808.8|-50163|15862|52611.1|-72.45|69|309|28.2|6.9|86.2
WMM2010|2010|0|80|0|6649.5|-714.6|54346.2|6687.8|54756.2|82.98|-6.13|-6.13|3.4|43.2|29.7
WMM2010|2010|0|0|120|39428.8|664.9|-11683.8|39434.5|41128.9|-16.5|0.97||-2|-22.7|57.3
WMM2010|2010|0|-80|240|5657.7|15727.3|-53407.5|16714|55961.8|-72.62|70.21|310.21|22.4|1.8|89.3
WMM2010|2010|100|80|0|6332.2|-729.1|52194.9|6374|52582.6|83.04|-6.57|-6.57|3.5|41.6|26.8
WMM2010|2010|100|0|120|37452|611.9|-11180.8|37457|39090.1|-16.62|0.94||-1.6|-20.9|54.6
WMM2010|2010|100|-80|240|5484.3|14762.8|-50834.8|15748.6|53218.3|-72.79|69.62|309.62|20.5|1|83.5
WMM2010|2012.5|0|80|0|6658|-606.7|54420.4|6685.5|54829.5|83|-5.21|-5.21|3.4|43.2|29.7
WMM2010|2012.5|0|0|120|39423.9|608.1|-11540.5|39428.6|41082.8|-16.31|0.88||-2|-22.7|57.3
WMM2010|2012.5|0|-80|240|5713.6|15731.8|-53184.3|16737.2|55755.7|-72.53|70.04|310.04|22.4|1.8|89.3
WMM2010|2012.5|100|80|0|6340.9|-625.1|52261.9|6371.6|52648.9|83.05|-5.63|-5.63|3.5|41.6|26.8
WMM2010|2012.5|100|0|120|37448.1|559.7|-11044.2|37452.2|39046.7|-16.43|0.86||-1.6|-20.9|54.6
WMM2010|2012.5|100|-80|240|5535.5|14765.4|-50625.9|15768.9|53024.9|-72.7|69.45|309.45|20.5|1|83.5
WMM2005|2007.5|0|80|0|6673|-810|54370|6722|54784|82.95|-6.92||7|48|54
WMM2005|2007.5|0|80|60|4178|3018|56671|5154|56905|84.8|35.84||-19|9|61
WMM2005|2007.5|0|80|120|2362|23|58638|2362|58686|87.69|0.55||-3|-8|60
WMM2005|2007.5|0|80|180|4226|643|57609|4274|57768|85.76|8.65||-4|-34|69
WMM2005|2007.5|0|80|240|1038|630|57475|1215|57488|88.79|31.25||59|-46|38
WMM2005|2007.5|0|80|300|2504|-3503|55862|4306|56028|85.59|-54.44||68|32|31
WMM2005|2007.5|0|40|0|25568|-436|36584|25572|44635|55.05|-0.98||18|47|24
WMM2005|2007.5|0|40|60|25910|2303|43711|26012|50865|59.24|5.08||-17|27|88
WMM2005|2007.5|0|40|120|28294|-3676|45491|28532|53699|57.9|-7.4||-9|-45|-30
WMM2005|2007.5|0|40|180|25170|2553|33470|25299|41956|52.92|5.79||28|-13|20
WMM2005|2007.5|0|40|240|21846|5753|45752|22591|51025|63.72|14.75||-11|-51|-76
WMM2005|2007.5|0|40|300|21110|-6772|44377|22170|49607|63.45|-17.79||48|39|-126
WMM2005|2007.5|0|0|0|27506|-3106|-15186|27681|31573|-28.75|-6.44||12|52|-51
WMM2005|2007.5|0|0|60|35228|-2544|-11072|35319|37014|-17.41|-4.13||82|23|44
WMM2005|2007.5|0|0|120|39420|741|-11986|39427|41208|-16.91|1.08||-3|-21|12
WMM2005|2007.5|0|0|180|33650|5706|-2894|34130|34252|-4.85|9.62||-20|-9|-22
WMM2005|2007.5|0|0|240|30265|4865|5105|30654|31076|9.45|9.13||-34|-27|5
WMM2005|2007.5|0|0|300|26089|-6808|7623|26962|28019|15.79|-14.63||-41|-38|-135
WMM2005|2007.5|0|-40|0|9608|-4164|-22544|10472|24858|-65.09|-23.43||-39|22|44
WMM2005|2007.5|0|-40|60|12626|-12764|-37478|17953|41556|-64.4|-45.31||-36|2|-113
WMM2005|2007.5|0|-40|120|17681|-1037|-59562|17712|62139|-73.44|-3.36||3|11|36
WMM2005|2007.5|0|-40|180|21835|8732|-49090|23516|54432|-64.4|21.8||-23|11|38
WMM2005|2007.5|0|-40|240|22728|9397|-32230|24594|40541|-52.65|22.46||-41|-9|64
WMM2005|2007.5|0|-40|300|18319|-849|-16236|18339|24494|-41.52|-2.65||-64|-40|-9
WMM2005|2007.5|0|-80|0|17781|-7101|-43062|19146|47127|-66.03|-21.77||-14|-23|68
WMM2005|2007.5|0|-80|60|4808|-17139|-49562|17800|52662|-70.24|-74.33||-38|-14|44
WMM2005|2007.5|0|-80|120|-9970|-8146|-59046|12874|60433|-77.7|-140.75||-30|22|37
WMM2005|2007.5|0|-80|180|-7858|8865|-60295|11846|61448|-78.88|131.56||2|36|60
WMM2005|2007.5|0|-80|240|5601|15724|-53637|16692|56175|-72.71|70.39||24|2|85
WMM2005|2007.5|0|-80|300|17624|7796|-45453|19271|49370|-67.02|23.86||-2|-24|80
WMM2020|2020|0|80|0|6570.4|-146.3|54606|6572|55000.1|83.14|-1.28|-1.28|-16.2|59|42.9
WMM2020|2020|0|0|120|39624.3|109.9|-10932.5|39624.4|41104.9|-15.42|0.16||24.2|-60.8|49.2
WMM2020|2020|0|-80|240|5940.6|15772.1|-52480.8|16853.8|55120.6|-72.2|69.36|-50.64|30.4|1.8|91.7
WMM2020|2020|100|80|0|6261.8|-185.5|52429.1|6264.5|52802|83.19|-1.7|-1.7|-15.1|56.4|39.2
WMM2020|2020|100|0|120|37636.7|104.9|-10474.8|37636.9|39067.3|-15.55|0.16||22.9|-56.1|45.1
WMM2020|2020|100|-80|240|5744.9|14799.5|-49969.4|15875.4|52430.6|-72.37|68.78|-51.22|28|1.4|85.6
WMM2020|2022.5|0|80|0|6529.9|1.1|54713.4|6529.9|55101.7|83.19|0.01|0.01|-16.2|59|42.9
WMM2020|2022.5|0|0|120|39684.7|-42.2|-10809.5|39684.7|41130.5|-15.24|-0.06||24.2|-60.8|49.2
WMM2020|2022.5|0|-80|240|6016.5|15776.7|-52251.6|16885|54912.1|-72.09|69.13|-50.87|30.4|1.8|91.7
WMM2020|2022.5|100|80|0|6224|-44.5|52527|6224.2|52894.5|83.24|-0.41|-0.41|-15.1|56.4|39.2
WMM2020|2022.5|100|0|120|37694|-35.3|-10362|37694.1|39092.4|-15.37|-0.05||22.9|-56.1|45.1
WMM2020|2022.5|100|-80|240|5815|14803|-49755.3|15904.1|52235.4|-72.27|68.55|-51.47|28|1.4|85.6
WMM2020|2020|28|89|-121|-575.7|-1396|56082.3|1510|56102.7|88.46|-112.41||69.5|-9.2|20.1
WMM2020|2020|48|80|-96|1518|-1160.5|55671.9|1910.8|55704.7|88.03|-37.4||72.5|26.3|-11.3
WMM2020|2020|54|82|87|1555.6|1941.4|56520.5|2487.8|56575.2|87.48|51.3||-48.7|-20.4|39.7
WMM2020|2020|65|43|93|24375.3|303.2|49691.4|24377.2|55348.7|63.87|0.71||-33.7|-32.4|101.1
WMM2020|2020|51|-33|109|21556.3|-2183.2|-52676|21666.6|56957.9|-67.64|-5.78||34.4|9.2|-16.8
WMM2020|2020|39|-59|-8|14369.9|-4063.3|-24679|14933.4|28845.4|-58.82|-15.79||-12.3|7.3|60
WMM2020|2020|3|-50|-103|19684.4|10512.2|-31883.6|22315.5|38917.2|-55.01|28.1||-34.2|-31.8|85.1
WMM2020|2020|94|-29|-110|23467.8|6650.9|-19320.7|24392|31116.9|-38.38|15.82||-37.9|-30.4|42.5
WMM2020|2020|66|14|143|34916.8|70.2|8114.9|34916.9|35847.5|13.08|0.12||29.6|-41.4|-46.4
WMM2020|2020|18|0|21|29311.2|536|-14589|29316.1|32745.6|-26.46|1.05||-0.9|51.2|54.5
WMM2020|2020.5|6|-36|-137|23948.6|8791.9|-32897.6|25511.4|41630.3|-52.21|20.16||-21.6|-3.8|65.4
WMM2020|2020.5|63|26|81|34737.7|259.2|30023.4|34738.7|45914.9|40.84|0.43||5.9|2.4|128.2
WMM2020|2020.5|69|38|-144|22647.3|5390|35831.9|23279.9|42730.3|56.99|13.39||-38.9|-37.1|-53.5
WMM2020|2020.5|50|-70|-133|8943.1|13981.7|-51628.5|16597.2|54230.7|-72.18|57.4||13.3|7.2|103.1
WMM2020|2020.5|8|-52|-75|19571.7|5387.5|-23769|20299.7|31257.7|-49.5|15.39||-55.8|-48.3|46.4
